StateName,StateFIPS,PUMA,Counties Within PUMA,PumaState,uninsured_total,uninsured_percent,FoodStamp,Age0_18,Age19_25,Age26_34,Age35_54,Age55_64,138PctFPL_or_Less,139to400PctFPL,Above400PctFPL,Male,Female,Married,ChildinFamily,Latino,WhiteNonLatino,BlackNonLatino,AsianNonLatino,HawaiiPacIslander,AmericanIndian_AlaskaNative,Multiracial_or_Other,Disabled,FullTime_Worker_in_Family,Job_Agriculture,Job_Mining,Job_ManufacturingConstruction,Job_Trade,Job_InfoFinance,Job_EducHealth,Job_Entertainment,Job_Service,Job_MilitaryPublic,LessThanHS,HSDiploma,CollegeGrad,NoEnglishAdults_in_House,EnglishSpeaking,Spanish,Chinese,Korean,Vietnamese,Tagalog,Russian,OtherLang,SpeaksMostCommonOthLang,OtherLanguage
Alabama,1,904,Jefferson County (part),100904,22884,14.3,22.3,13.5,11.6,27.4%,35.9%,11.6%,56.3%,35.3%,8.4%,47.8%,52.2%,31.2%,39.0%,2.3%,52.9%,44.1%,0.2%,0.0%,0.0%,0.5%,11.6%,78.4%,0.0%,9.0%,4.5%,16.9%,23.9%,8.4%,6.4%,9.4%,0.8%,24.3%,62.4%,13.3%,0.8%,98.0,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,905,Jefferson County (part),100905,13013,14.1,41.0,5.0,22.3,23.8%,37.3%,11.6%,67.0%,29.7%,3.3%,57.7%,42.3%,19.6%,29.6%,1.3%,52.5%,45.3%,0.0%,0.0%,0.4%,0.5%,21.9%,67.5%,1.4%,13.0%,5.8%,13.8%,19.0%,8.4%,6.3%,6.2%,2.8%,29.0%,68.5%,2.6%,0.6%,99.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,1000,Etowah County,101000,12616,14.6,31.4,2.1,18.2,23.6%,41.7%,14.4%,66.0%,32.0%,2.0%,52.5%,47.5%,29.9%,34.7%,1.5%,74.5%,20.8%,1.4%,0.0%,0.0%,1.9%,19.6%,69.6%,0.0%,5.8%,16.3%,25.7%,8.2%,14.0%,10.6%,4.9%,2.1%,20.2%,79.3%,0.6%,1.2%,98.1,1.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,1100,"Talladega County, Cherokee County, Randolph County, Clay County, Cleburne County",101100,22499,17.4,40.7,6.0,20.2,17.8%,46.4%,9.5%,71.0%,26.0%,3.0%,56.8%,43.2%,30.8%,31.2%,1.1%,72.7%,25.5%,0.0%,0.1%,0.0%,0.6%,19.9%,59.3%,3.8%,9.0%,19.9%,9.2%,10.3%,4.5%,13.8%,8.1%,4.6%,37.2%,60.8%,2.0%,0.2%,98.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,1200,Calhoun County,101200,19109,19.3,56.7,10.5,16.0,26.5%,38.4%,8.6%,71.1%,25.1%,3.8%,52.9%,47.1%,27.2%,39.5%,6.7%,74.9%,16.9%,0.0%,0.0%,0.0%,1.5%,8.8%,77.7%,0.5%,14.6%,17.1%,6.1%,14.6%,13.6%,10.5%,4.6%,3.2%,35.1%,51.9%,13.0%,5.0%,99.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,1300,Shelby County,101300,17320,10.1,38.7,18.0,15.4,20.7%,35.5%,10.4%,62.0%,29.9%,8.1%,51.1%,48.9%,41.6%,49.7%,26.3%,61.7%,12.1%,0.0%,0.0%,0.0%,0.0%,9.4%,89.5%,0.0%,12.7%,3.5%,12.4%,23.2%,5.3%,5.9%,7.9%,3.9%,18.1%,67.1%,14.9%,22.7%,77.3,22.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,**
Alabama,1,1400,Tuscaloosa County,101400,16024,9.4,33.7,11.1,23.8,27.1%,30.9%,7.1%,62.7%,32.7%,4.7%,53.5%,46.5%,24.4%,21.7%,8.1%,48.0%,43.1%,0.0%,0.0%,0.0%,0.8%,11.7%,69.2%,0.1%,12.9%,8.4%,19.9%,13.4%,6.8%,17.0%,2.4%,3.2%,30.4%,61.9%,7.7%,7.9%,95.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,1500,"Dallas County, Marengo County, Bibb County, Hale County, Perry County, Greene County",101500,15043,14.9,42.6,5.5,20.3,19.8%,41.7%,12.8%,76.9%,22.6%,0.5%,60.7%,39.3%,21.6%,27.5%,0.0%,31.1%,68.2%,0.3%,0.0%,0.0%,0.3%,18.7%,54.4%,3.2%,9.9%,6.9%,13.3%,8.2%,17.3%,7.8%,6.0%,1.8%,25.7%,69.3%,5.1%,0.0%,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,1600,"Tallapoosa County, Chilton County, Chambers County, Coosa County",101600,18084,16.5,42.4,12.5,16.6,25.0%,38.6%,7.2%,66.8%,26.5%,6.7%,55.2%,44.8%,32.9%,45.6%,2.1%,65.5%,32.3%,0.1%,0.0%,0.0%,0.0%,13.3%,75.5%,2.7%,6.1%,22.2%,22.1%,6.4%,5.3%,5.2%,5.1%,5.4%,35.8%,59.2%,5.0%,2.3%,97.7,2.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,1700,Lee County,101700,14928,11.8,30.4,6.4,25.6,22.0%,34.1%,11.9%,48.8%,47.3%,3.8%,51.3%,48.7%,34.8%,44.8%,1.7%,65.1%,30.1%,2.8%,0.0%,0.0%,0.3%,9.3%,83.4%,11.1%,3.6%,10.5%,18.7%,6.5%,3.0%,20.0%,7.4%,3.2%,35.6%,59.8%,4.6%,2.1%,97.9,1.4,0.0,0.4,0.0,0.0,0.0,0.3,0.0,**
Alabama,1,1800,"Russell County, Pike County, Barbour County, Macon County, Butler County, Henry County, Crenshaw County, Bullock County",101800,31361,18.8,41.4,9.9,21.5,20.2%,37.9%,10.4%,65.9%,29.6%,4.5%,56.6%,43.4%,23.2%,29.4%,4.4%,40.2%,52.0%,0.0%,0.0%,0.0%,3.4%,12.8%,57.2%,1.6%,9.3%,9.2%,17.5%,8.8%,10.4%,13.2%,4.1%,3.9%,24.3%,70.6%,5.1%,2.4%,97.5,0.7,0.0,0.0,1.8,0.0,0.0,0.0,0.0,**
Alabama,1,1900,Montgomery County (part),101900,31436,17.3,49.6,9.5,20.8,24.0%,37.0%,8.6%,74.1%,23.0%,2.9%,48.7%,51.3%,13.0%,28.9%,4.8%,19.6%,73.7%,1.5%,0.0%,0.2%,0.1%,16.5%,64.3%,0.0%,10.2%,10.5%,17.1%,7.9%,15.2%,12.7%,3.0%,2.8%,32.7%,60.5%,6.8%,3.5%,95.6,3.3,0.0,0.1,1.0,0.0,0.0,0.0,0.0,**
Alabama,1,2000,Montgomery County (part),102000,23254,16.9,28.0,8.7,19.5,25.0%,39.0%,7.8%,62.2%,29.2%,8.6%,62.6%,37.4%,17.5%,26.5%,0.7%,56.2%,40.1%,0.1%,0.0%,0.0%,2.9%,23.1%,60.5%,1.2%,10.6%,8.4%,15.3%,9.3%,5.8%,17.3%,5.1%,1.8%,27.6%,70.5%,1.8%,0.9%,99.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,2100,"Escambia County, Clarke County, Monroe County, Washington County, Choctaw County, Conecuh County, Lowndes County, Wilcox County",102100,30315,23.6,50.9,11.0,19.3,18.2%,39.3%,12.2%,73.5%,23.9%,2.6%,54.8%,45.2%,25.7%,38.1%,1.2%,47.4%,47.0%,0.0%,0.0%,2.2%,2.2%,18.2%,48.6%,1.5%,10.8%,7.5%,15.0%,4.3%,8.1%,4.9%,4.6%,11.5%,33.0%,60.1%,7.0%,0.7%,99.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Alabama,1,2200,Mobile County (part),102200,32763,20.1,29.7,11.2,22.4,22.4%,36.3%,7.6%,58.1%,31.0%,10.9%,56.2%,43.8%,16.1%,36.9%,2.7%,30.4%,66.7%,0.1%,0.0%,0.0%,0.2%,9.3%,68.6%,0.7%,9.6%,4.8%,19.2%,12.8%,9.2%,14.5%,3.0%,4.8%,16.1%,78.8%,5.1%,1.2%,98.8,1.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,**
Alabama,1,2300,Mobile County (part),102300,33890,17.8,34.7,7.6,22.9,18.5%,44.3%,6.8%,53.8%,40.9%,5.2%,44.4%,55.6%,37.7%,44.4%,4.7%,61.5%,27.4%,2.9%,0.0%,0.9%,2.5%,11.8%,79.2%,3.1%,13.0%,7.7%,16.8%,10.1%,7.3%,9.4%,10.2%,1.6%,21.8%,75.6%,2.6%,0.8%,98.3,0.4,0.0,0.0,0.6,0.0,0.0,0.6,0.0,**
Alabama,1,2400,Baldwin County,102400,20124,13.2,20.6,5.3,27.8,6.3%,40.5%,20.1%,53.2%,42.4%,4.3%,56.7%,43.3%,33.8%,29.8%,9.6%,77.2%,9.9%,0.7%,0.0%,0.0%,2.6%,17.5%,74.6%,0.0%,13.7%,3.7%,14.7%,8.2%,10.4%,21.4%,3.7%,5.8%,21.9%,66.1%,12.0%,3.8%,96.1,2.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,**
Alabama,1,2500,"Coffee County, Covington County, Geneva County",102500,16861,17.8,33.0,3.9,13.8,31.8%,44.5%,6.0%,72.1%,27.0%,0.9%,52.5%,47.5%,32.1%,45.6%,4.0%,73.1%,20.7%,0.0%,0.0%,0.1%,2.2%,10.6%,69.1%,2.5%,10.8%,13.7%,23.0%,12.0%,2.0%,12.3%,4.6%,3.4%,27.4%,68.3%,4.3%,1.9%,97.9,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,**
Alabama,1,2600,"Houston County, Dale County",102600,20125,15.6,41.8,7.8,20.3,22.0%,38.3%,11.6%,63.7%,32.9%,3.4%,50.6%,49.4%,28.9%,34.9%,3.7%,60.1%,33.7%,0.4%,0.0%,0.2%,2.0%,15.9%,70.7%,2.6%,5.1%,6.8%,17.2%,14.3%,10.9%,17.8%,5.6%,1.7%,22.8%,71.5%,5.6%,1.6%,98.4,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,**
Alaska,2,101,Anchorage Municipality (part),200101,22555,17.5,13.7,22.0,22.7,23.0%,21.7%,10.5%,40.7%,46.4%,12.9%,60.9%,39.1%,21.2%,44.0%,7.9%,31.4%,9.6%,15.1%,2.5%,20.5%,13.0%,7.0%,79.0%,0.7%,7.5%,0.0%,18.3%,10.5%,15.5%,12.3%,1.6%,8.3%,16.5%,62.6%,21.0%,3.1%,88.9,4.0,0.7,3.5,0.0,0.0,0.0,2.9,2.2,Hmong
Alaska,2,102,Anchorage Municipality (part),200102,17501,12.5,8.4,14.5,14.1,16.2%,41.1%,14.1%,29.1%,56.8%,14.1%,51.1%,48.9%,32.6%,42.7%,13.3%,50.9%,0.9%,11.2%,0.0%,17.5%,6.1%,7.4%,87.0%,0.4%,9.8%,0.9%,21.7%,17.1%,9.7%,11.4%,3.5%,5.9%,6.1%,82.9%,11.0%,8.6%,85.4,2.4,0.0,0.7,2.5,1.2,0.0,7.8,6.5,Aleut-Eskimo languages
Alaska,2,200,"Matanuska-Susitna Borough, Kenai Peninsula Borough",200200,31280,23.5,15.0,16.6,12.0,24.4%,34.6%,12.3%,42.2%,48.0%,9.8%,51.8%,48.2%,28.1%,41.0%,1.9%,80.0%,0.1%,0.0%,0.0%,14.9%,3.1%,13.9%,81.0%,4.0%,16.5%,3.6%,16.8%,5.3%,8.8%,9.8%,5.1%,6.8%,5.0%,82.7%,12.3%,1.0%,99.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,**
Alaska,2,300,"Fairbanks North Star Borough, Juneau City and Borough, Ketchikan Gateway Borough, Valdez-Cordova Census Area, Sitka City and Borough, Southeast Fairbanks Census Ar, Haines Borough, Denali Borough",200300,36696,23.1,9.3,23.9,16.4,14.1%,35.2%,10.5%,32.5%,60.2%,7.3%,57.1%,42.9%,21.0%,45.1%,3.4%,50.8%,0.3%,5.4%,0.3%,22.7%,17.0%,8.3%,89.0%,0.9%,12.1%,2.1%,25.0%,7.0%,11.3%,7.5%,7.9%,3.6%,8.8%,83.3%,7.9%,0.4%,98.9,0.1,0.2,0.0,0.0,0.2,0.1,0.4,0.0,**
Alaska,2,400,"Bethel Census Area, Kodiak Island Borough, Nome Census Area, North Slope Borough, Northwest Arctic Borough, Wade Hampton Census Area, Wrangell-Petersburg Census Ar, Yukon-Koyukuk Census Area, Prince of Wales-Outer Ketchik, Aleutians West Census",200400,31390,32.5,28.9,18.1,21.5,13.7%,33.9%,12.7%,57.4%,36.4%,6.2%,59.1%,40.9%,22.0%,38.8%,2.7%,17.9%,1.5%,4.8%,0.7%,62.3%,10.0%,11.9%,77.4%,6.3%,8.9%,8.5%,15.5%,3.6%,10.8%,6.0%,4.5%,13.3%,14.4%,82.8%,2.8%,5.9%,92.0,1.5,0.1,0.0,0.3,1.6,0.0,4.5,3.4,Aleut-Eskimo languages
Arizona,4,101,Maricopa County (part),400101,8736,12.8,23.9,19.8,11.5,13.1%,34.4%,21.2%,40.9%,53.8%,5.2%,51.9%,48.1%,29.2%,38.6%,12.5%,83.6%,0.0%,4.0%,0.0%,0.0%,0.0%,14.2%,62.4%,0.0%,1.8%,0.5%,15.0%,12.0%,12.8%,18.8%,5.0%,0.1%,15.7%,78.1%,6.1%,2.0%,96.8,2.6,0.0,0.0,0.0,0.0,0.0,0.5,0.5,Thai
Arizona,4,102,Maricopa County (part),400102,18289,14.4,12.6,18.5,18.9,17.2%,30.4%,15.0%,28.2%,62.2%,9.7%,57.1%,42.9%,31.4%,40.2%,29.2%,54.2%,4.9%,4.6%,0.0%,0.0%,7.1%,5.9%,86.2%,0.0%,5.3%,6.0%,22.1%,19.2%,10.1%,7.0%,2.6%,3.9%,16.8%,77.7%,5.5%,9.1%,88.4,8.1,1.2,0.4,0.7,0.0,0.0,1.2,0.8,Romanian
Arizona,4,103,Maricopa County (part),400103,29712,13.8,18.1,23.9,14.6,18.8%,31.2%,11.5%,41.4%,48.6%,10.0%,62.8%,37.2%,29.3%,42.8%,14.2%,71.1%,4.2%,3.4%,0.0%,1.4%,5.8%,5.4%,85.9%,0.8%,9.1%,2.0%,16.4%,12.5%,8.6%,8.2%,10.9%,3.8%,14.2%,77.1%,8.7%,5.4%,90.4,4.6,0.2,0.0,0.9,1.0,0.8,2.2,1.6,Romanian
Arizona,4,104,Maricopa County (part),400104,24643,12.8,11.7,29.3,15.2,13.7%,33.4%,8.5%,35.9%,42.9%,21.1%,57.9%,42.1%,27.8%,43.9%,23.7%,63.2%,6.5%,3.6%,0.0%,0.5%,2.5%,3.8%,85.6%,0.0%,7.0%,2.7%,18.5%,13.7%,7.3%,10.7%,6.5%,2.4%,13.7%,69.4%,16.9%,12.8%,89.3,8.6,0.1,0.0,0.4,0.0,0.1,1.5,0.6,Syriac
Arizona,4,105,Maricopa County (part),400105,12758,9.4,4.1,8.9,13.5,31.4%,24.3%,21.9%,32.2%,51.7%,16.2%,57.0%,43.0%,19.8%,22.6%,5.0%,74.6%,3.1%,9.8%,0.0%,0.0%,7.5%,6.4%,83.6%,0.8%,9.4%,3.1%,23.5%,18.7%,10.9%,11.5%,5.1%,1.0%,7.4%,46.5%,46.1%,0.2%,98.0,0.4,0.0,0.0,0.0,0.0,0.0,1.6,0.9,Gujarathi
Arizona,4,106,Maricopa County (part),400106,14894,18.7,16.7,15.9,21.3,22.9%,26.7%,13.2%,36.6%,45.8%,17.6%,57.4%,42.6%,14.1%,27.7%,27.2%,54.6%,1.6%,0.4%,0.0%,14.5%,1.7%,5.3%,73.4%,0.0%,4.2%,3.4%,12.1%,18.2%,11.1%,20.8%,2.4%,5.1%,13.8%,68.5%,17.7%,4.0%,94.7,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Arizona,4,107,Maricopa County (part),400107,20137,16.4,13.3,19.9,18.4,19.6%,34.2%,7.8%,49.0%,40.2%,10.8%,59.7%,40.3%,24.6%,39.3%,25.6%,58.1%,3.6%,6.2%,0.0%,5.0%,1.6%,4.6%,81.0%,0.2%,5.7%,1.3%,13.9%,18.0%,10.0%,12.2%,6.8%,3.9%,13.5%,73.4%,13.1%,4.4%,89.5,6.8,0.0,0.8,0.7,1.1,0.0,1.1,0.7,Amharic
Arizona,4,108,Maricopa County (part),400108,14313,14.2,13.2,18.9,22.1,28.3%,23.9%,6.8%,56.3%,36.9%,6.8%,63.6%,36.4%,12.0%,31.1%,27.0%,63.1%,1.1%,0.0%,0.0%,2.7%,6.1%,5.9%,74.0%,0.0%,9.6%,4.2%,23.0%,10.9%,10.4%,8.8%,7.4%,4.6%,12.5%,70.6%,16.9%,0.3%,97.5,1.3,0.0,0.0,0.0,0.0,0.0,1.2,0.9,Romanian
Arizona,4,109,Maricopa County (part),400109,27701,19.5,31.5,27.8,18.1,13.8%,33.7%,6.6%,45.8%,50.0%,4.3%,57.1%,42.9%,22.0%,50.5%,62.8%,27.8%,3.0%,2.7%,0.0%,2.3%,1.4%,5.9%,85.5%,0.1%,3.8%,6.1%,14.5%,16.1%,5.8%,12.3%,4.9%,3.0%,21.4%,73.0%,5.5%,12.1%,80.2,16.9,0.0,0.0,2.0,0.0,0.0,0.9,0.0,**
Arizona,4,110,Maricopa County (part),400110,51866,17.4,7.3,16.1,21.0,20.8%,33.2%,8.9%,53.5%,39.5%,7.0%,52.9%,47.1%,31.8%,34.1%,41.6%,34.7%,7.8%,3.6%,0.0%,9.9%,2.4%,7.0%,68.6%,3.7%,7.5%,4.4%,10.0%,12.0%,13.0%,11.0%,2.4%,1.0%,18.9%,74.4%,6.7%,11.2%,84.3,12.4,1.6,0.0,1.2,0.0,0.0,0.5,0.0,**
Arizona,4,111,Maricopa County (part),400111,38982,25.6,28.8,28.4,24.0,14.2%,25.5%,7.9%,57.1%,40.0%,2.8%,55.2%,44.8%,25.7%,48.4%,70.2%,13.3%,11.3%,2.0%,0.3%,2.6%,0.5%,6.4%,75.2%,0.2%,9.2%,5.4%,12.6%,12.3%,6.3%,5.8%,4.5%,4.0%,31.2%,65.3%,3.5%,19.4%,78.8,19.3,0.0,0.0,0.8,0.4,0.0,0.7,0.5,Other specified African languages
Arizona,4,112,Maricopa County (part),400112,30457,23.2,22.2,17.6,20.5,18.4%,34.9%,8.6%,55.9%,36.8%,7.3%,59.4%,40.6%,19.1%,33.5%,32.7%,44.1%,10.4%,2.9%,0.1%,8.4%,1.5%,7.5%,63.9%,0.3%,6.9%,2.6%,9.3%,16.2%,9.8%,11.7%,5.5%,6.2%,23.7%,65.5%,10.8%,10.5%,87.9,9.2,0.8,0.0,0.3,0.0,0.0,1.8,0.9,Other Asian languages
Arizona,4,113,Maricopa County (part),400113,16214,19.4,8.5,18.3,15.4,17.2%,37.1%,12.0%,43.3%,50.1%,6.5%,49.9%,50.1%,23.5%,39.7%,40.7%,47.0%,6.7%,3.5%,0.0%,0.5%,1.6%,14.0%,83.7%,0.0%,5.4%,2.5%,10.3%,21.2%,15.7%,9.1%,4.9%,1.3%,18.5%,66.2%,15.3%,13.5%,85.1,14.3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,**
Arizona,4,114,Maricopa County (part),400114,33339,21.1,20.9,25.7,20.1,10.6%,32.5%,11.0%,46.5%,42.8%,10.7%,52.7%,47.3%,22.3%,43.4%,32.3%,59.3%,2.8%,0.2%,0.0%,3.6%,1.8%,5.7%,78.3%,0.1%,8.0%,3.1%,15.3%,13.6%,7.7%,14.8%,4.0%,2.8%,18.2%,72.0%,9.8%,7.1%,92.4,7.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,**
Arizona,4,115,Maricopa County (part),400115,34049,26.8,23.8,26.9,20.8,18.0%,28.2%,6.2%,54.9%,36.6%,8.5%,58.3%,41.7%,18.7%,42.0%,43.1%,44.2%,2.9%,1.2%,2.4%,5.4%,0.8%,6.1%,81.2%,0.5%,7.9%,4.8%,9.1%,16.5%,9.8%,12.2%,6.8%,1.8%,20.4%,74.0%,5.7%,15.5%,85.4,13.1,0.0,0.0,0.7,0.0,0.0,0.8,0.6,Arabic
Arizona,4,116,Maricopa County (part),400116,20669,14.0,19.8,6.6,29.2,22.6%,32.9%,8.8%,44.9%,43.3%,11.8%,56.4%,43.6%,18.8%,14.3%,21.1%,54.8%,8.1%,7.9%,2.5%,3.4%,2.3%,6.3%,72.4%,0.4%,4.4%,2.1%,19.7%,16.1%,14.9%,19.6%,4.0%,0.5%,12.7%,67.4%,19.9%,6.0%,91.3,4.8,0.0,0.3,0.5,0.0,0.0,3.2,1.9,Thai
Arizona,4,117,Maricopa County (part),400117,29771,27.4,30.5,25.7,19.6,17.8%,29.7%,7.2%,63.3%,27.7%,9.0%,59.5%,40.5%,19.4%,42.9%,58.5%,22.2%,11.0%,1.5%,3.3%,3.1%,0.4%,5.1%,57.2%,0.0%,3.5%,4.0%,10.0%,13.3%,6.3%,8.5%,2.5%,2.5%,31.4%,59.4%,9.3%,13.6%,83.3,14.8,0.0,0.0,0.0,0.2,0.0,1.7,0.5,Cushite
Arizona,4,118,Maricopa County (part),400118,40851,31.1,25.0,32.0,23.1,17.9%,22.5%,4.6%,57.5%,38.5%,4.0%,53.3%,46.7%,21.1%,50.0%,79.9%,11.1%,7.1%,0.7%,0.0%,0.8%,0.4%,2.5%,75.5%,0.0%,9.9%,3.6%,12.3%,9.5%,9.7%,4.8%,2.2%,3.5%,29.1%,66.7%,4.2%,11.7%,82.2,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
